the,the
be,bé
and,and
a,a
of,ov
to,too
in,in
I,I
you,U
it,it
have,hav
to,too
that,that
for,for
do,doo
he,hé
with,with
on,on
this,this
n't,n't
we,wé
that,that
not,not
but,but
they,thá
say,sá
at,at
what,wot
his,hiz
from,from
go,gó
or,or
by,bí
get,get
she,shé
my,mí
can,kan
as,az
know,nó
if,if
me,mé
your,yor
all,aul
who,hoo
about,about
their,thair
will,wil
so,só
would,wuud
make,mák
just,just
up,up
think,thhingk
time,tím
there,thair
see,sé
her,hur
as,az
out,out
one,wun
come,kum
people,pépel
take,ták
year,yér
him,him
them,them
some,sum
want,wont
how,hou
when,wen
which,wich
now,nou
like,lík
other,uther
could,kuud
our,our
into,intoo
here,hér
then,then
than,than
look,luuk
way,wá
more,mor
these,théz
no,nó
thing,thhing
well,wel
because,bikauz
also,aulsó
two,too
use,úz
tell,tel
good,guud
first,furst
man,man
day,dá
find,fínd
give,giv
more,mor
new,nú
one,wun
us,us
any,ené
those,thóz
very,verré
her,hur
need,need
back,bak
there,thair
should,shuud
even,éven
only,ónlé
many,mené
really,rélé
work,wurk
life,líf
why,wí
right,rít
down,doun
on,on
try,trí
let,let
something,sumthhing
too,too
call,kaul
woman,wumen
may,má
still,stil
through,thhroo
mean,mén
after,after
never,never
no,nó
world,wurld
in,intoo
feel,fél
yeah,yair
great,grát
last,last
child,chíld
oh,Ó
over,óver
ask,ask
when,wen
as,az
school,skool
state,stát
much,much
talk,tauk
out,out
keep,kép
leave,lév
put,puut
like,lík
help,help
big,big
where,wair
same,sám
all,aul
own,ón
while,wíl
start,start
three,thhré
high,hí
every,evré
another,anuther
become,bikum
most,móst
between,bitwén
happen,hapen
family,famelé
over,óver
president,prezident
old,óld
yes,yes
house,hous
show,shó
again,agenn
student,stúdent
so,só
seem,sém
might,mít
part,part
hear,hér
its,itz
place,plás
problem,problem
where,wair
believe,bilév
country,kuntré
always,aulwáz
week,wék
point,point
hand,hand
off,of
play,plá
turn,turn
few,fú
group,groop
such,such
against,agennst
run,run
guy,gí
about,about
case,cás
question,qeschen
work,wurk
night,nít
live,liv
game,gám
number,number
write,rít
bring,bring
without,without
money,muné
lot,lot
most,móst
book,buuk
system,sistem
government,government
next,nekst
city,sité
company,kompené
story,storé
today,tooday
job,job
move,moov
must,must
bad,bad
friend,frend
during,dúring
begin,bigin
love,luv
each,éch
hold,hóld
different,diferent
American,Ameriken
little,litel
before,bifor
ever,ever
word,wurd
fact,fakt
right,rít
read,red
anything,enéthhing
nothing,nothhing
sure,shuur
small,smaul
month,munthh
program,prógram
maybe,mábé
right,rít
under,under
business,biznes
home,hóm
kind,kínd
stop,stop
pay,pá
study,studé
since,sins
issue,isú
name,nám
idea,ídée
room,room
percent,persennt
far,far
away,awá
law,lau
actually,akchooelé
large,larj
though,thhroo
provide,províd
lose,looz
power,pouer
kid,kid
war,wor
understand,understand
head,hed
mother,muther
real,rél
best,best
team,tém
eye,í
long,long
long,long
side,síd
water,wauter
young,yung
wait,wát
okay,óká
both,bóthh
yet,yet
after,after
meet,mét
service,survis
area,airée
important,importent
person,pursen
hey,há
thank,thhangk
much,much
someone,sumwun
end,end
change,chánj
however,houevver
only,ónlé
around,around
hour,our
everything,evréthhing
national,nashenel
four,for
line,lín
girl,gurl
around,around
watch,wach
until,until
father,faather
sit,sit
create,kréát
information,infermáshen
car,kar
learn,lurn
least,lést
already,aulreddé
kill,kil
minute,minit
party,parté
include,inklood
stand,stand
together,toogether
back,bak
follow,foló
health,helthh
remember,rimemmber
often,often
reason,rézen
speak,spék
ago,agó
set,set
black,blak
member,member
community,komúneté
once,wuns
social,sóshel
news,núz
allow,alou
win,win
body,bodé
lead,léd
continue,kontinú
whether,wether
enough,inuf
spend,spen
level,level
able,ábel
political,politikel
almost,aulmóst
boy,boi
university,úniverseté
before,bifor
stay,stá
add,ad
later,láter
change,chánj
five,fív
probably,probeblé
center,senter
among,amung
face,fás
public,publik
die,dí
food,food
else,els
history,histery
buy,bí
result,rizult
morning,morning
off,of
parent,pairent
office,ofis
course,kors
send,send
research,résurch
walk,wauk
door,dor
white,wít
several,severel
court,kort
home,hóm
grow,gró
better,beter
open,ópen
moment,móment
including,inklooding
consider,konsider
both,bóthh
such,such
little,litel
within,within
second,sekend
late,lát
street,strét
free,fré
better,beter
everyone,evréwun
policy,polesé
table,tábel
sorry,sorré
care,kair
low,ló
human,húmen
please,pléz
hope,hóp
true,troo
process,próses
teacher,técher
data,dáta
offer,ofer
death,dethh
whole,hól
experience,ekspéréens
plan,plan
easy,éze
education,edúkáshen
build,bild
expect,ekspekkt
fall,faul
himself,himsellf
age,áj
hard,hard
sense,sens
across,akros
show,shó
early,urlé
college,kolij
music,músik
appear,apér
mind,mínd
class,klas
police,polés
use,ús
effect,efekkt
season,sézen
tax,taks
heart,hart
son,sun
art,art
possible,posebel
serve,surv
break,brák
although,aulthó
end,end
market,market
even,éven
air,air
force,fors
require,riqír
foot,fuut
up,up
listen,lisen
agree,agré
according,akording
anyone,enéwun
baby,bábé
wrong,rong
love,luv
cut,kut
decide,disíd
republican,ripubliken
full,fuul
behind,bihínd
pass,pas
interest,intrest
sometimes,sumtímz
security,sikúreté
eat,ét
report,riport
control,kontról
rate,rát
local,lókal
suggest,sujesst
report,riport
nation,náshen
sell,sel
action,akshen
support,suport
wife,wíf
decision,disizhen
receive,risév
value,valú
base,bás
pick,pik
phone,fón
thanks,thhangkz
event,ivennt
drive,drív
strong,strong
reach,réch
remain,rimán
explain,eksplán
site,sít
hit,hit
pull,puul
church,church
model,model
perhaps,perhapz
relationship,riláshenship
six,siks
fine,fín
movie,moové
field,féld
raise,ráz
less,les
player,pláer
couple,kupel
million,milyen
themselves,themsellvz
record,rekord
especially,espeshelé
difference,diferens
light,lít
development,divellepment
federal,federel
former,former
role,ról
pretty,prité
myself,mísellf
view,vú
price,prís
effort,efert
nice,nís
quite,qít
along,along
voice,vois
finally,fínelé
department,dipartment
either,íther
toward,tooword
leader,léder
because,bikauz
photo,fótó
wear,wair
space,spás
project,projekkt
return,riturn
position,posishen
special,speshel
million,milyen
film,film
need,néd
major,májer
type,típ
town,toun
article,artikel
road,ród
form,form
chance,chans
drug,drug
economic,ekenomik
situation,sitúáshen
choose,chooz
practice,praktis
cause,kauz
happy,hapé
science,síens
join,join
teach,téch
early,urlé
develop,divellep
share,shair
yourself,yorsellf
carry,karré
clear,klér
brother,bruther
matter,mater
dead,ded
image,imij
star,star
cost,kost
simply,simplé
post,póst
society,sosíeté
picture,pikcher
piece,pés
paper,páper
energy,enerjé
personal,persenel
building,bilding
military,militery
open,ópen
doctor,dokter
activity,aktivité
exactly,exaktlé
American,Ameriken
media,médíe
miss,mis
evidence,evidens
product,produkt
realize,réelíz
save,sáv
arm,arm
technology,teknolejé
catch,kach
comment,komennt
look,luuk
term,turm
color,kuler
cover,kuver
describe,diskríb
guess,ges
choice,chois
source,sors
mom,mom
soon,soon
director,direkktlé
international,internashenel
rule,rool
campaign,kampán
ground,ground
election,elekkshen
face,fás
uh,u
check,chek
page,páj
fight,fít
itself,itsellf
test,test
patient,pashens
produce,prodús
certain,surten
whatever,wotevver
half,haaf
video,vidéó
support,suport
throw,thhró
third,thhurd
care,kair
rest,rest
recent,résent
available,aválebel
step,step
ready,redé
opportunity,opertúneté
official,ofishel
oil,oil
call,kaul
organization,orgenízáshen
character,karrekter
single,singgel
current,kurrent
likely,líklé
county,kuntré
future,fúcher
dad,dad
whose,hooz
less,les
shoot,shoot
industry,industré
second,sekend
list,list
general,generel
stuff,stuf
figure,figer
attention,atennshen
forget,forgett
risk,risk
no,nó
focus,fókus
short,short
fire,fír
dog,dog
red,redé
hair,hair
point,point
condition,kondishen
wall,waul
daughter,dauter
before,bifor
deal,dél
author,authher
truth,troothh
upon,upon
husband,husbend
period,péréed
series,séréz
order,order
officer,ofiser
close,klós
land,land
note,nót
computer,kompúter
thought,thhaut
economy,ikonemé
goal,gól
bank,bangk
behavior,bihávyer
sound,sound
deal,dél
certainly,surtenlé
nearly,nérlé
increase,inkrés
act,akt
north,northh
well,wel
blood,blud
culture,kultcher
medical,medikel
OK,OK
everybody,evrébodé
top,top
difficult,difikelt
close,klóz
language,langgwij
window,windó
response,rispons
population,popúláshen
lie,lí
tree,tré
park,park
worker,wurker
draw,drau
plan,plan
drop,drop
push,puush
earth,urthh
cause,kauz
per,pur
private,prívet
tonight,toonít
race,rás
than,than
letter,leter
other,uther
gun,gun
simple,simpel
course,kors
wonder,wunder
involve,involv
hell,hel
poor,puur
each,éch
answer,anser
nature,nácher
administration,administráshen
common,komen
no,nó
hard,hard
message,mesij
song,song
enjoy,enjoi
similar,similer
congress,konggress
attack,atak
past,past
hot,hot
seek,sék
amount,amount
analysis,analesis
store,stor
defense,difens
bill,bil
like,lík
cell,sel
away,awá
performance,performans
hospital,hospitel
bed,bed
board,bord
protect,prótekkt
century,senchúré
summer,sumer
material,matéréel
individual,individúel
recently,résentlé
example,exampel
represent,reprizent
fill,fil
state,stát
place,plás
animal,animel
fail,fál
factor,faktor
natural,nacherel
sir,sur
agency,ágensé
usually,úzhelé
significant,signifikent
help,help
ability,abilité
mile,míl
statement,státment
entire,entír
democrat,demekrat
floor,flor
serious,séréus
career,kerér
dollar,doler
vote,vót
sex,seks
compare,kompair
south,southh
forward,forwerd
subject,subjekkt
financial,fínanshel
identify,ídenntifí
beautiful,bútifel
decade,dekád
bit,bit
reduce,ridús
sister,sister
quality,qoleté
quickly,qiklé
act,akt
press,pres
worry,wurré
accept,akseppt
enter,enter
mention,menshen
sound,sound
thus,thus
plant,plant
movement,moovment
scene,sén
section,sekshen
treatment,trétment
wish,wish
benefit,benefit
interesting,intresting
west,west
candidate,kandidát
approach,apróch
determine,diturmin
resource,résors
claim,klám
answer,anser
prove,proov
sort,sort
enough,inuf
size,síz
somebody,sumbodé
knowledge,nolij
rather,rather
hang,hang
sport,sport
tv,TV
loss,los
argue,argú
left,left
note,nót
meeting,méting
skill,skil
card,kard
feeling,féling
despite,dispít
degree,digré
crime,krím
that,that
sign,sín
occur,okur
imagine,imajin
vote,vót
near,nér
king,king
box,boks
present,prezennt
figure,figer
seven,seven
foreign,forrin
laugh,laf
disease,diséz
lady,ládé
beyond,biyond
discuss,diskus
finish,finish
design,disín
concern,konsurn
ball,baul
east,ést
recognize,rekegníz
apply,aplí
prepare,pripair
network,netwurk
huge,húj
success,suksess
district,distrikt
cup,kup
name,nám
physical,fizikel
growth,gróthh
rise,ríz
hi,hí
standard,standerd
force,fors
sign,sín
fan,fan
theory,thhéré
staff,staf
hurt,hurt
legal,légel
September,Septemmber
set,set
outside,outsíd
et,et
strategy,stratejé
clearly,klérlé
property,properté
lay,lá
final,fínel
authority,authhorité
perfect,purfekkt
method,methhed
region,réjen
since,sins
impact,impakt
indicate,indikát
safe,sáf
committee,comité
supposed,supózd
dream,drém
training,tráning
shit,shit
central,sentrel
option,opshen
eight,át
particularly,pertikyelerlé
completely,komplétlé
opinion,opinyen
main,mán
ten,ten
interview,intervú
exist,exist
remove,rimoov
dark,dark
play,plás
union,únéen
professor,professer
pressure,presher
purpose,purpes
stage,stáj
blue,bloo
herself,hursellf
sun,sun
pain,pán
artist,artist
employee,emploieé
avoid,avoid
account,akount
release,rilés
fund,fund
environment,envírement
treat,trét
specific,spesifik
version,vurzhen
shot,shot
hate,hát
reality,réaleté
visit,vizit
club,klub
justice,justis
river,river
brain,brán
memory,memeré
rock,rok
talk,tauk
camera,kamra
global,glóbel
various,vairéus
arrive,arrív
notice,nótis
bit,bit
detail,détál
challenge,chalenj
argument,argúment
lot,lot
nobody,nóbodé
weapon,wepen
best,best
station,stáshen
island,íland
absolutely,abselootlé
instead,instedd
discussion,diskushen
instead,instedd
affect,afekkt
design,disín
little,litel
anyway,enéwá
respond,rispond
control,kontról
trouble,trubel
conversation,konversáshen
manage,manij
close,clós
date,dát
public,publik
army,armé
top,top
post,póst
charge,charj
seat,sét
assume,asúm
writer,ríter
perform,perform
credit,kredit
green,grén
marriage,marrij
operation,operáshen
indeed,indéd
sleep,slép
necessary,nesesery
reveal,rivél
agent,ágent
access,aksess
bar,bar
debate,dibát
leg,leg
contain,kontán
beat,bét
cool,kool
democratic,demekratik
cold,kóld
glass,glas
improve,improov
adult,adult
trade,trád
religious,rilijus
head,hed
review,rivú
kind,kínd
address,adress
association,asóséáshen
measure,mezher
stock,stok
gas,gas
deep,dép
lawyer,lauyer
production,produkshen
relate,rilát
middle,midel
management,manijment
original,operáshen
victim,orrijenel
cancer,kanser
speech,spéch
particular,pertikyeler
trial,tríel
none,non
item,ítem
weight,wát
tomorrow,toomorró
step,step
positive,pozetiv
form,form
citizen,sitizen
study,studé
trip,trip
establish,establish
executive,exekkútiv
politics,poletikz
stick,stik
customer,kustemer
manager,manijer
rather,rather
publish,publish
popular,popúler
sing,sing
ahead,ahed
conference,konferens
total,tótel
discover,diskuver
fast,fast
base,bás
direction,dírekkshen
sunday,Sundá
maintain,mántán
past,past
majority,majorrité
peace,pés
dinner,diner
partner,partner
user,úzer
above,abuv
fly,flí
bag,bag
therefore,thairfor
rich,rich
individual,individúel
tough,tuf
owner,óner
shall,shal
inside,insíd
voter,vóter
tool,tool
June,Joon
far,far
may,má
mountain,mounten
range,ránj
coach,kóch
fear,fér
Friday,Frídá
attorney,aturné
unless,unless
nor,nor
expert,ekspurt
structure,strukcher
budget,budjet
insurance,inshuurens
text,tekst
freedom,frédem
crazy,krázé
reader,réder
style,stíl
through,thhroo
march,march
machine,mashén
November,Nóvember
generation,generáshen
income,inkum
born,born
admit,admit
hello,heló
onto,ontoo
sea,sé
okay,OK
mouth,mouthh
throughout,thhroo-out
own,ón
test,test
web,web
shake,shák
threat,thhret
solution,solooshen
shut,shut
down,doun
travel,travel
scientist,síentist
hide,híd
obviously,obvéuslé
refer,rifur
alone,alón
drink,dringk
investigation,invesstigáshen
senator,seneter
unit,únit
photograph,fótógraf
July,Joolí
television,televizhen
key,ké
sexual,seksúel
radio,rádéó
prevent,privennt
once,wuns
modern,modern
senate,senet
violence,víelens
touch,tuch
feature,fécher
audience,audéens
evening,évning
whom,hoom
front,frunt
hall,haul
task,task
score,skor
skin,skin
suffer,sufer
wide,wíd
spring,spring
experience,ekspéréens
civil,sivel
safety,sáfté
weekend,wékennd
while,wíl
worth,wurthh
title,títel
heat,hét
normal,normel
hope,hóp
yard,yard
finger,fingger
tend,tend
mission,mishen
eventually,evennchooelé
participant,partisipent
hotel,hótell
judge,juj
pattern,patern
break,brák
institution,institúshen
faith,fáthh
professional,professenel
reflect,reflekkt
folk,fók
surface,surfis
fall,faul
client,klíent
edge,ej
traditional,tradishenel
council,kounsel
device,divís
firm,furm
environmental,envíremenntel
responsibility,risponsibileté
chair,chair
internet,internett
October,Október
by,bí
funny,funé
immediately,imédéetlé
investment,invesstment
ship,ship
effective,efekktiv
previous,prévéus
content,kontennt
consumer,konsúmer
element,eliment
nuclear,núklér
spirit,spirit
directly,dírekktlé
afraid,afrád
define,difín
handle,handel
track,trak
run,run
wind,wind
lack,lak
cost,kost
announce,anouns
journal,jurnel
heavy,hevé
ice,ís
collection,kolekkshen
feed,féd
soldier,sóljer
just,just
governor,guverner
fish,fish
shoulder,shólder
cultural,kulcherel
successful,suksessfel
fair,fair
trust,trust
suddenly,sudenlé
future,fúcher
interested,intrested
deliver,diliver
saturday,Saterdá
editor,editer
fresh,fresh
anybody,enébodé
destroy,distroi
claim,klám
critical,kritikel
agreement,agrément
powerful,pouerfel
researcher,résurcher
concept,konseppt
willing,wiling
band,band
marry,marré
promise,promis
easily,ézilé
restaurant,resteront
league,lég
senior,sénéer
capital,kapitel
anymore,enémor
april,Aprel
potential,potennshel
etc,etc.
quick,qik
magazine,magezén
status,státus
attend,atennd
replace,riplás
due,dú
hill,hil
kitchen,kichen
achieve,achév
screen,skrén
generally,jenerelé
mistake,misták
along,along
strike,strík
battle,batel
spot,spot
basic,básik
very,verré
corner,korner
target,target
driver,dríver
beginning,bégining
religion,rilijen
crisis,krísis
count,kount
museum,múséem
engage,en-gáj
communication,komúnikáshen
murder,murder
blow,bló
object,objekkt
express,ekspress
huh,hu
encourage,enkurrij
matter,mater
blog,blog
smile,smíl
return,riturn
belief,biléf
block,blok
debt,det
fire,fír
labor,láber
understanding,understanding
neighborhood,náberhuud
contract,kontrakt
middle,midel
species,spéshéz
additional,adishenel
sample,sampel
involved,involvd
inside,insíd
mostly,móstlé
path,pathh
concerned,konsurnd
apple,apel
conduct,kondukt
god,god
wonderful,wunderfel
library,líbreré
prison,prizen
hole,hól
attempt,atemmpt
complete,komplét
code,kód
sales,sálz
gift,gift
refuse,rifúz
increase,inkrés
garden,garden
introduce,intredús
roll,ról
Christian,Kristéen
definitely,definetlé
like,lík
lake,lák
turn,turn
sure,shuur
earn,urn
plane,plán
vehicle,véekel
examine,examin
application,aplikáshen
thousand,thhouzend
coffee,kofé
gain,gán
result,riszult
file,fíl
billion,bilyen
reform,riform
ignore,ignor
welcome,welkem
gold,góld
jump,jump
planet,planet
location,lócáshen
bird,burd
amazing,amázing
principle,prinsipel
promote,promót
search,surch
nine,nín
alive,alív
possibility,posibileté
sky,skí
otherwise,utherwíz
remind,rimínd
healthy,helthhy
fit,fit
horse,hors
advantage,advantij
commercial,komershel
steal,stél
basis,básis
context,kontekkst
highly,hílé
Christmas,Krismes
strength,strengthh
move,moov
Monday,Mundá
mean,mén
alone,alón
beach,bréch
survey,survá
writing,ríting
master,master
cry,krí
scale,skál
resident,rezident
football,fuutbaul
sweet,swét
failure,fályer
reporter,riporter
commit,komit
fight,fít
one,wun
associate,asóséát
vision,vizhen
function,funkshen
truly,troolé
sick,sik
average,averij
human,húmen
stupid,stúpid
will,wil
Chinese,Chínéz
connection,konekkshen
camp,kamp
stone,stón
hundred,hundred
key,ké
truck,truk
afternoon,afternoon
responsible,risponsebel
secretary,seksúel
apparently,aparentlé
smart,smart
southern,suthern
totally,tótelé
western,western
collect,kolekkt
conflict,konflikt
burn,burn
learning,lurning
wake,wák
contribute,kontribút
ride,ríd
british,British
following,folóing
order,order
share,shair
newspaper,núzpáper
foundation,foundáshen
variety,varríeté
perspective,perspekktiv
document,dokúment
presence,prezens
stare,stair
lesson,lesen
limit,limit
appreciate,apréshéát
complete,komplét
observe,obsurv
currently,kurrentlé
hundred,hundred
fun,funkshen
crowd,kroud
attack,atak
apartment,apartment
survive,survív
guest,gest
soul,sól
protection,prótekkshen
intelligence,intellijens
yesterday,yesterdá
somewhere,sumwair
border,border
reading,réding
terms,turmz
leadership,lédership
present,prezent
chief,chéf
attitude,atitúd
start,start
um,um
deny,déní
website,websít
seriously,séréuslé
actual,aktúel
recall,rékaul
fix,fiks
negative,negetiv
connect,konekkt
distance,distens
regular,regúler
climate,klímet
relation,riláshen
flight,flít
dangerous,dánjerus
boat,bót
aspect,aspekkt
grab,grab
until,until
favorite,fáverit
like,lík
January,Janúeré
independent,indepenndent
volume,volúm
am,am
lots,lotz
front,frunt
online,onlín
theater,thhéeter
speed,spéd
aware,awair
identity,ídennteté
demand,dimand
extra,ekstra
charge,charj
guard,gard
demonstrate,demenstrát
fully,fuulé
tuesday,Túzdá
facility,fasileté
farm,farm
mind,mínd
fun,funkshen
thousand,thhouzend
August,August
hire,hír
light,lít
link,link
shoe,shoo
institute,institút
below,biló
living,living
european,Úrepéen
quarter,qorter
basically,básikelé
forest,forrest
multiple,multipel
poll,pól
wild,wíld
measure,mezher
twice,twís
cross,kros
background,bakround
settle,setel
winter,winter
focus,fókus
presidential,prezidenshel
operate,operát
fuck,fuk
view,vú
daily,dálé
shop,shop
above,abuv
division,divizhen
slowly,slólé
advice,advís
reaction,réakshen
injury,injeré
it,it
ticket,tiket
grade,grád
wow,wou
birth,burth
painting,pánting
outcome,outkum
enemy,enemé
damage,damij
being,béing
storm,storm
shape,sháp
bowl,ból
commission,komishen
captain,kapten
ear,ér
troop,troop
female,fémál
wood,wuud
warm,worm
clean,klén
lead,léd
minister,minister
neighbor,náber
tiny,tíné
mental,mentel
software,softwair
glad,glad
finding,fínding
lord,lord
drive,drív
temperature,temperecher
quiet,qíet
spread,spred
bright,brít
cut,kut
influence,inflooens
kick,kik
annual,anúel
procedure,prósédyer
respect,rispekkt
wave,wáv
tradition,tradishen
threaten,thhreten
primary,prímeré
strange,stránj
