TS,soundSpel,note,Rondthaler,pronunciation,longNote,multipleTS,multipleSS,alternatives,British
afflicted,aflikted,,,,,,,,
afflicting,aflikting,,,,,,,,
affliction,aflikshon,,,,,,,,
afflictions,aflikshons,,,,,,,,
afflicts,aflikts,,,,,,,,
aflame,aflaem,,,,,,,,
afraid,afraed,,,,,,,,
Africa,Africa,,,,,,,,
African,African,,,,,,,,
Africans,Africans,,,,,,,,
age,aej,,,,,,,,
aged,aejd,,,,,,,,
ageless,aejles,,,,,,,,
agenda,ajenda,,,,,,,,
agendas,ajendas,,,,,,,,
ages,aejes,,,,,,,,
agglomerate,aglomeraet,,,,,,,,
agglomerated,aglomeraeted,,,,,,,,
agglomerates,aglomeraets,,,,,,,,
agglomerating,aglomeraeting,,,,,,,,
agglomeration,aglomeraeshon,,,,,,,,
agglomerations,aglomeraeshons,,,,,,,,
agglutinate,aglootinaet,,,,,,,,
agglutinated,aglootinaeted,,,,,,,,
agglutinates,aglootinaets,,,,,,,,
agglutinating,aglootinaeting,,,,,,,,
agglutination,aglootinaeshon,,,,,,,,
agglutinative,aglootinaetiv,,,,,,,,
aggrandize,agrandiez,,,,,,,,
aggrandized,agrandiezd,,,,,,,,
aggrandizement,agrandiezment,,,,,,,,
aggrandizements,agrandiezments,,,,,,,,
aggrandizer,agrandiezer,,,,,,,,
aggrandizers,agrandiezers,,,,,,,,
aggrandizes,agrandiezes,,,,,,,,
aggrandizing,agrandiezing,,,,,,,,
aggregate,agregaet,,,,,,,,
aggregate,agregat,,,,,,,,
aggregated,agregaeted,,,,,,,,
aggregates,agregaets,,,,,,,,
aggregates,agregats,,,,,,,,
aggregating,agregaeting,,,,,,,,
aggregation,agregaeshon,,,,,,,,
aggregations,agregaeshons,,,,,,,,
aggression,agreshon,,,,,,,,
aggressions,agreshons,,,,,,,,
aggressive,agresiv,,,,,,,,
aggressively,agresivly,,,,,,,,
aggressor,agresor,,,,,,,,
aggressors,agresors,,,,,,,,
agile,ajiel,,,,,,,,
agile,ajil,,,,,,,,
agilities,ajilitys,,,,,,,,
agility,ajility,,,,,,,,
aging,aejing,,,,,,,,
agitate,ajitaet,,,,,,,,
agitated,ajitaeted,,,,,,,,
agitates,ajitaets,,,,,,,,
agitating,ajitaeting,,,,,,,,
agitation,ajitaeshon,,,,,,,,
agitations,ajitaeshons,,,,,,,,
agitator,ajitaetor,,,,,,,,
agitators,ajitaetors,,,,,,,,
agree,agree,,,,,,,,
agreeable,agreeabl,,,,,,,,
agreeably,agreeably,,,,,,,,
agreed,agreed,,,,,,,,
agreeing,agreeing,,,,,,,,
agreement,agreement,,,,,,,,
agreements,agreements,,,,,,,,
agrees,agrees,,,,,,,,
agricultural,agriculcheral,,,,,,,,
agriculturalist,agriculcheralist,,,,,,,,
agriculturalists,agriculcheralists,,,,,,,,
agriculturally,agriculcheraly,,,,,,,,
agriculture,agriculcher,,,,,,,,
agricultures,agriculchers,,,,,,,,
agronomic,agronomik,,,,,,,,
agronomical,agronomikal,,,,,,,,
agronomies,agronomys,,,,,,,,
agronomist,agronomist,,,,,,,,
agronomists,agronomists,,,,,,,,
agronomy,agronomy,,,,,,,,
aid,aed,,,,,,,,
aided,aeded,,,,,,,,
aiding,aeding,,,,,,,,
aids,aeds,,,,,,,,
ail,ael,,,,,,,,
ailed,aeld,,,,,,,,
ailing,aeling,,,,,,,,
ails,aels,,,,,,,,
aim,aem,,,,,,,,
aimed,aemd,,,,,,,,
aiming,aeming,,,,,,,,
aimless,aemles,,,,,,,,
aimlessly,aemlesly,,,,,,,,
aims,aems,,,,,,,,
air,aer,,,,,,,,
aircraft,aercraft,,,,,,,,
airfare,aerfaer,,,,,,,,
airfares,aerfaers,,,,,,,,
airiness,aerynes,,,,,,,,
airing,aering,,,,,,,,
airport,aerport,,,,,,,,
airports,aerports,,,,,,,,
airs,aers,,,,,,,,
airy,aery,,,,,,,,
aisle,iel,,,,,,,,
aisles,iels,,,,,,,,
aitch,aech,,,,,,,,
akin,akin,,,,,,,,
alabaster,alabaster,,,,,,,,
alacrity,alacrity,,,,,,,,
alarm,alarm,,,,,,,,
alarmed,alarmd,,,,,,,,
alarming,alarming,,,,,,,,
alarmingly,alarmingly,,,,,,,,
alarmist,alarmist,,,,,,,,
alarmists,alarmists,,,,,,,,
alarms,alarms,,,,,,,,
alas,alas,,,,,,,,
albacore,albacor,,,,,,,,
albeit,aulbeeit,,,,,,,,
albino,albieno,,,,,,,,
albinos,albienoes,,,,,,,,
album,album,,,,,,,,
albumin,albuemin,,,,,,,,
albums,albums,,,,,,,,
alchemist,alkemist,,,,,,,,
alchemists,alkemists,,,,,,,,
alchemy,alkemy,,,,,,,,
alcohol,alcohol,,,,,,,,
alcoholic,alcoholik,,,,,,,,
alcoholics,alcoholiks,,,,,,,,
alcoholism,alcoholizm,,,,,,,,
alcoholisms,alcoholizms,,,,,,,,
alcohols,alcohols,,,,,,,,
alcove,alcoev,,,,,,,,
alcoves,alcoevs,,,,,,,,
alderman,aulderman,,,,,,,,
aldermen,auldermen,,,,,,,,
ale,ael,,,,,,,,
alert,alurt,,,,,,,,
alerted,alurted,,,,,,,,
alerting,alurting,,,,,,,,
alertly,alurtly,,,,,,,,
alertness,alurtnes,,,,,,,,
alerts,alurts,,,,,,,,
ales,aels,,,,,,,,
alewife,aelwief,,,,,,,,
alewives,aelwievs,,,,,,,,
alfa,alfa,,,,,,,,
alfresco,alfresco,,,,,,,,
algae,aljy,,,,,,,,
algebra,aljebra,,,,,,,,
algebraic,aljebraeik,,,,,,,,
algebraical,aljebraeikal,,,,,,,,
algebraically,aljebraeikaly,,,,,,,,
algorism,algorizm,,,,,,,,
algorisms,algorizms,,,,,,,,
algorithm,algorithm,,,,,,,,
algorithmic,algorithmik,,,,,,,,
algorithmically,algorithmikaly,,,,,,,,
algorithms,algorithms,,,,,,,,
alias,aelius,*,,,,,,,
alibi,alibi,,,,,,,,
alibied,alibied,,,,,,,,
alibiing,alibieing,,,,,,,,
alibis,alibies,,,,,,,,
alien,aelian,*,,,,,,,
alienate,aelianaet,*,,,,,,,
alienated,aelianaeted,*,,,,,,,
alienates,aelianaets,*,,,,,,,
alienating,aelianaeting,*,,,,,,,
alienation,aelianaeshon,*,,,,,,,
alienist,aelianist,*,,,,,,,
alienists,aelianists,*,,,,,,,
aliens,aelians,*,,,,,,,
alight,aliet,,,,,,,,
alighted,alieted,,,,,,,,
alighting,alieting,,,,,,,,
alights,aliets,,,,,,,,
align,alien,,,,,,,,
aligned,aliend,,,,,,,,
aligning,aliening,,,,,,,,
alignment,alienment,,,,,,,,
alignments,alienments,,,,,,,,
alike,aliek,,,,,,,,
alimentary,alimentary,*,,,,,,,
alimentation,alimentaeshon,,,,,,,,
alimony,alimoeny,,,,,,,,
aliquot,aliqot,*,,,,,,,
aliquots,aliqots,*,,,,,,,
alive,aliev,,,,,,,,
alkali,alcali,*,,,,,,,
alkaline,alcalien,*,,,,,,,
alkaloid,alcaloid,*,,,,,,,
alkaloids,alcaloids,*,,,,,,,
all,all,1,,,explicit exception:/aul/,,,,
allay,alae,,,,,,,,
allayed,alaed,,,,,,,,
allaying,alaeing,,,,,,,,
allays,alaes,,,,,,,,
allegation,alegaeshon,,,,,,,,
allegations,alegaeshons,,,,,,,,
allege,alej,,,,,,,,
alleged,alejd,*,,,,,,,
allegedly,alejedly,,,,,,,,
alleges,alejes,,,,,,,,
allegiance,aleejanss,,,,,,,,
allegiances,aleejanses,,,,,,,,
alleging,alejing,,,,,,,,
allegoric,alegorik,,,,,,,,
allegorical,alegorikal,,,,,,,,
allegory,alegory,,,,,,,,
allegretti,alegrety,,,,,,,,
allegro,alegro,,,,,,,,
allemand,alemand,,,,,,,,
allemands,alemands,,,,,,,,
allergic,alurjik,,,,,,,,
allergies,alerjys,,,,,,,,
allergy,alerjy,,,,,,,,
allevation,aleeviashon,,,,,,,,
alleviate,aleeviaet,,,,,,,,
alleviated,aleeviaeted,,,,,,,,
alleviates,aleeviaets,,,,,,,,
alleviating,aleeviaeting,,,,,,,,
alley,aly,,,,,,,,
alleys,alys,,,,,,,,
alleyway,alywae,,,,,,,,
alleyways,alywaes,,,,,,,,
alliance,alieanss,,,,,,,,
alliances,alieanses,,,,,,,,
allied,alied,,,,,,,,
allies,alies,,,,,,,,
alligator,aligaetor,,,,,,,,
alligatored,aligaetord,,,,,,,,
alligators,aligaetors,,,,,,,,
alliteration,aliteraeshon,,,,,,,,
alliterations,aliteraeshons,,,,,,,,
alliterative,aliterativ,,,,,,,,
allocable,alocabl,,,,,,,,
allocate,alocaet,,,,,,,,
allocated,alocaeted,,,,,,,,
allocates,alocaets,,,,,,,,
allocating,alocaeting,,,,,,,,
allocation,alocaeshon,,,,,,,,
allocations,alocaeshons,,,,,,,,
allocution,alocueshon,,,,,,,,
allopathic,alopathik,,,,,,,,
allopathy,alopathy,,,,,,,,
allophone,alofoen,,,,,,,,
allophones,alofoens,,,,,,,,
allot,alot,,,,,,,,
allotment,alotment,,,,,,,,
allotments,alotments,,,,,,,,
allotted,aloted,,,,,,,,
allotting,aloting,,,,,,,,
allow,alow,,,,,,,,
allowable,alowabl,,,,,,,,
allowance,alowanss,,,,,,,,
allowances,alowanses,,,,,,,,
allowed,alowd,,,,,,,,
allowedly,alowedly,,,,,,,,
allowing,alowing,,,,,,,,
allows,alows,,,,,,,,
alloy,aloy,,,,,,,,
alloys,aloys,,,,,,,,
allude,alood,,,,,,,,
alluded,alooded,,,,,,,,
alludes,aloods,,,,,,,,
alluding,alooding,,,,,,,,
allusion,aloozhon,,,,,,,,
allusions,aloozhons,,,,,,,,
allusive,aloosiv,,,,,,,,
allusiveness,aloosivnes,,,,,,,,
alluvial,aloovial,,,,,,,,
ally,ali,,,,,,,,
allying,alieing,,,,,,,,
alm,aam,,,,,,,,
almanac,aulmanak,,,,,,,,
almanacs,aulmanaks,,,,,,,,
almighty,aulmiety,,,,,,,,
almond,aamund,,,,,,,,
almonds,aamunds,,,,,,,,
almost,aulmoest,,,,,,,,
alms,aams,,,,,,,,
alnico,alnico,*,,,,,,,
aloe,alo,,,,,,,,
aloes,aloes,,,,,,,,
aloft,aloft,*,,,,,,,
alone,aloen,,,,,,,,
aloneness,aloennes,,,,,,,,
along,along,,,,,,,,
alongside,alongsied,,,,,,,,
aloof,aloof,,,,,,,,
aloofness,aloofnes,,,,,,,,
aloud,aloud,,,,,,,,
alpha,alfa,,,,,,,,
alphabet,alfabet,,,,,,,,
alphabetic,alfabetik,,,,,,,,
alphabetical,alfabetikal,,,,,,,,
alphabetize,alfabetiez,,,,,,,,
alphabetized,alfabetiezd,,,,,,,,
alphabetizes,alfabetiezes,,,,,,,,
alphabetizing,alfabetiezing,,,,,,,,
alphabets,alfabets,,,,,,,,
alphanumeric,alfanuemerrik,,,,,,,,
already,aulredy,,,,,,,,
also,aulso,,,,,,,,
altar,aultar,,,,,,,,
altarpiece,aultarpeess,,,,,,,,
altarpieces,aultarpeeses,,,,,,,,
alter,aulter,,,,,,,,
alteration,aulteraeshon,,,,,,,,
alterations,aulteraeshons,,,,,,,,
altercation,aultercaeshon,,,,,,,,
altercations,aultercaeshons,,,,,,,,
altered,aulterd,,,,,,,,
altering,aultering,,,,,,,,
alternate,aulternaet,,,,,,,,
alternate,aulternat,*,,,,,,,
alternated,aulternaeted,,,,,,,,
alternately,aulternatly,,,,,,,,
alternates,aulternaets,,,,,,,,
alternating,aulternaetning,,,,,,,,
alternation,aulternaeshon,,,,,,,,
alternations,aulternaeshons,,,,,,,,
alternative,aulturnativ,,,,,,,,
alternatively,aulturnativly,,,,,,,,
alternatives,aulturnativs,,,,,,,,
alternator,aulternaetor,,,,,,,,
alternators,aulternaetors,,,,,,,,
alters,aulters,,,,,,,,
altho,aultho,*,,,,,,,
although,aultho,*,,,,,,,
altimeter,altimeter,*,,,,,,,
altitude,altitued,,,,,,,,
altitudes,altitueds,,,,,,,,
altitudinal,altituedinal,,,,,,,,
alto,alto,,,,,,,,
altogether,aultogether,,,,,,,,
altruism,altrooizm,,,,,,,,
altruist,altrooist,,,,,,,,
altruistic,altrooistik,,,,,,,,
altruistically,altrooistikaly,,,,,,,,
altruists,altrooists,,,,,,,,
alum,alum,,,,,,,,
aluminum,aloominum,,,,,,,,
alumna,alumna,,,,,,,,
alumnae,alumnee,*,,,,,,,
alumni,alumni,,,,,,,,
alumnus,alumnus,,,,,,,,
alveolar,alweoelar,*,,,,,,,
alveoli,alveoeli,*,,,,,,,
alveolus,alveoelus,*,,,,,,,
always,aulwaes,,,,,,,,
am,am,,,,,,,,
amalgam,amalgam,,,,,,,,
amalgamate,amalgamaet,,,,,,,,
amalgamated,amalgamaeted,,,,,,,,
amalgamates,amalgamaets,,,,,,,,
amalgamating,amalgamaeting,,,,,,,,
amalgamation,amalgamaeshon,,,,,,,,
amalgamations,amalgamaeshons,,,,,,,,
amalgams,amalgams,,,,,,,,
amass,amas,,,,,,,,
amassed,amast,,,,,,,,
amasses,amases,,,,,,,,
amassing,amasing,,,,,,,,
amateur,amacher,,,,,,,,
amateur,amachuur,,,,,,,,
amateurs,amachers,,,,,,,,
amateurs,amachuurs,,,,,,,,
amatory,amatory,,,,,,,,
amaze,amaez,,,,,,,,
amazed,amaezd,,,,,,,,
amazement,amaezment,,,,,,,,
amazements,amaezments,,,,,,,,
amazes,amaezes,,,,,,,,
amazing,amaezing,,,,,,,,
amazingly,amaezingly,,,,,,,,
ambassador,ambasador,,,,,,,,
ambassadors,ambasadors,,,,,,,,
amber,amber,,,,,,,,
ambergris,ambergree,*,,,,,,,
ambidexterity,ambidexterrity,,,,,,,,
ambidextrous,ambidextrus,,,,,,,,
ambience,ambi’enss,*,,,,,,,
ambient,ambi’ent,*,,,,,,,
ambiguities,ambigueitys,,,,,,,,
ambiguity,ambigueity,,,,,,,,
ambiguous,ambigueus,,,,,,,,
ambit,ambit,,,,,,,,
ambition,ambishon,*,,,,,,,
ambitions,ambishons,*,,,,,,,
ambitious,ambishus,,,,,,,,
ambitiously,ambishusly,,,,,,,,
ambits,ambits,,,,,,,,
ambivalence,ambivalenss,,,,,,,,
ambivalent,ambivalent,,,,,,,,
amble,ambl,,,,,,,,
ambled,ambld,,,,,,,,
ambles,ambls,,,,,,,,
ambling,ambling,,,,,,,,
ambrosia,ambroezha,,,,,,,,
ambulance,ambuelanss,,,,,,,,
ambulances,ambuelanses,,,,,,,,
ambulatory,ambuelatory,,,,,,,,
ambuscade,ambuscaed,,,,,,,,
ambuscades,ambuscaeds,,,,,,,,
ambush,ambuush,*,,,,,,,
ambushed,ambuusht,,,,,,,,
ambushes,ambuushes,,,,,,,,
ameliorate,ameelueraet,*,,,,,,,
ameliorated,ameeluerated,*,,,,,,,
ameliorates,ameelueraets,*,,,,,,,
amelioration,ameelueraeshon,*,,,,,,,
ameliorations,ameelueraeshons,*,,,,,,,
ameliorative,ameelueraetiv,,,,,,,,
amen,aaamen,,,,,,,,
amenable,amenabl,,,,,,,,
amenably,amenably,,,,,,,,
amend,amend,,,,,,,,
amended,amended,,,,,,,,
amending,amending,,,,,,,,
amendment,amendment,,,,,,,,
amendments,amendments,,,,,,,,
amends,amends,,,,,,,,
amenities,amenitys,,,,,,,,
amenity,amenity,,,,,,,,
amens,aamens,,,,,,,,
amethyst,amethist,,,,,,,,
amethystine,amethistin,,,,,,,,
amiability,aemiability,,,,,,,,
amiable,aemiabl,,,,,,,,
amicable,ameecabl,,,,,,,,
amicable,amicabl,,,,,,,,
amicably,ameecably,,,,,,,,
amicably,amicably,,,,,,,,
amid,amid,,,,,,,,
amidships,amidships,,,,,,,,
amigo,ameego,,,,,,,,
amino,ameeno,,,,,,,,
amiss,amis,,,,,,,,
amity,amity,,,,,,,,
ammo,amo,,,,,,,,
ammonia,amoenia,,,,,,,,
ammoniac,amoeniak,,,,,,,,
ammonium,amoenium,,,,,,,,
ammunition,amuenishon,,,,,,,,
amnesia,amneezha,,,,,,,,
amnesties,amnestys,,,,,,,,
amnesty,amnesty,,,,,,,,
amoeba,ameeba,,,,,,,,
amoebas,ameebas,,,,,,,,
amoebic,ameebik,,,,,,,,
among,amung,,,,,,,,
amongst,amungs,,,,,,,,
amoral,aemoral,*,,,,,,,
amorality,aemorality,*,,,,,,,
amorist,aemorist,*,,,,,,,
amoritize,amortiez,,,,,,,,
amoritizing,amortiezing,,,,,,,,
amorous,amorus,,,,,,,,
amorphous,amorfus,,,,,,,,
amorphously,amorfusly,,,,,,,,
amortization,amortizaeshon,,,,,,,,
amount,amount,,,,,,,,
amounted,amounted,,,,,,,,
amounting,amounting,,,,,,,,
amounts,amounts,,,,,,,,
amperage,amperej,,,,,,,,
ampere,ampeer,,,,,,,,
amperes,ampeers,,,,,,,,
ampersand,ampersand,,,,,,,,
ampersands,ampersands,,,,,,,,
amphetamine,amfetameen,,,,,,,,
amphetamines,amfetameens,,,,,,,,
amphibian,amfibian,,,,,,,,
amphibians,amfibians,,,,,,,,
amphibious,amfibius,,,,,,,,
amphibology,amfibolojy,,,,,,,,
amphitheater,amfitheeater,,,,,,,,
amphitheaters,amfitheeaters,,,,,,,,
amphora,amfora,,,,,,,,
amphoras,amforas,,,,,,,,
ample,ampl,,,,,,,,
amplification,amplificaeshon,,,,,,,,
amplifications,amplificaeshons,,,,,,,,
amplified,amplified,,,,,,,,
amplifier,amplifieer,,,,,,,,
amplifiers,amplifieers,,,,,,,,
amplifies,amplifies,,,,,,,,
amplify,amplifi,,,,,,,,
amplifying,amplifieing,,,,,,,,
amplitude,amplitued,,,,,,,,
amplitudes,amplitueds,,,,,,,,
amply,amply,,,,,,,,
amputate,ampuetaet,,,,,,,,
amputated,ampuetaeted,,,,,,,,
amputation,ampuetaeshon,,,,,,,,
amputations,ampuetaeshons,,,,,,,,
amputee,ampuetee,,,,,,,,
amputees,ampuetees,,,,,,,,
amulet,amuelet,,,,,,,,
amulets,amuelets,,,,,,,,
amuse,amuez,,,,,,,,
amused,amuezd,,,,,,,,
amusedly,amuezedly,,,,,,,,
amusement,amuezment,,,,,,,,
amusements,amuezments,,,,,,,,
amuses,amuezes,,,,,,,,
amusing,amuezing,,,,,,,,
amusingly,amuezingly,,,,,,,,
an,an,,,,,,,,
ancestor,ansestor,,,,,,,,
ancestors,ansestors,,,,,,,,
ancestral,ansestral,,,,,,,,
ancestrally,ansestraly,,,,,,,,
anchor,ancor,,,,,,,,
anchored,ancord,,,,,,,,
anchoring,ancoring,,,,,,,,
anchorite,ancoriet,,,,,,,,
anchorites,ancoriets,,,,,,,,
anchorman,ancorman,,,,,,,,
anchormen,ancormen,,,,,,,,
anchors,ancors,,,,,,,,
and,and,,,,,,,,
androgen,androjen,,,,,,,,
androgens,androjens,,,,,,,,
androgynous,androjinus,,,,,,,,
Andy,Andy,,,,,,,,
anecdotal,anekdoetal,,,,,,,,
anecdotally,anekdoetaly,,,,,,,,
anecdote,anekdoet,,,,,,,,
anecdotes,anekdoets,,,,,,,,
angel,aenjel,,,,,,,,
angelic,anjelik,,,,,,,,
angelical,anjelikal,,,,,,,,
angelically,anjelikaly,,,,,,,,
angels,aenjels,,,,,,,,
anger,angger,,,,,,,,
angered,anggerd,,,,,,,,
angering,anggering,,,,,,,,
angers,anggers,,,,,,,,
angora,anggora,,,,,,,,
angoras,anggoras,,,,,,,,
angrier,anggryer,,,,,,,,
angriest,anggryest,,,,,,,,
angrily,anggrily,,,,,,,,
angry,anggry,,,,,,,,
animal,animal,,,,,,,,
animals,animals,,,,,,,,
animate,animaet,,,,,,,,
animated,animaeted,,,,,,,,
animatedly,animaetedly,,,,,,,,
animates,animaets,,,,,,,,
animating,animaeting,,,,,,,,
animation,animaeshon,,,,,,,,
animations,animaeshons,,,,,,,,
animism,animizm,,,,,,,,
animize,animiez,,,,,,,,
animized,animiezd,,,,,,,,
animizes,animiezes,,,,,,,,
animizing,animiezing,,,,,,,,
animosities,animositys,,,,,,,,
animosity,animosity,,,,,,,,
animus,asimus,,,,,,,,
aninversary,anivursary,,,,,,,,
anion,anieon,,,,,,,,
anionic,anieonik,,,,,,,,
anionics,anieoniks,,,,,,,,
anions,anieons,,,,,,,,
anise,anis,,,,,,,,
aniseed,aniseed,,,,,,,,
aniseeds,aniseeds,,,,,,,,
ankle,ankl,,,,,,,,
anklebone,anklboen,,,,,,,,
anklebones,anklboens,,,,,,,,
ankles,ankls,,,,,,,,
anklet,anklet,,,,,,,,
anklets,anklets,,,,,,,,
annalist,analist,,,,,,,,
annalists,analists,,,,,,,,
annals,anals,,,,,,,,
anneal,aneel,,,,,,,,
annealed,aneeld,,,,,,,,
anneales,aneels,,,,,,,,
annealing,aneeling,,,,,,,,
anneals,aneels,,,,,,,,
annex,anex,,,,,,,,
annexation,anexsaeshon,*,,,,,,,
annexations,anexsaeshons,*,,,,,,,
annexed,anext,,,,,,,,
annexes,anexes,*,,,,,,,
annexing,anexing,*,,,,,,,
annihilate,anieilaet,,,,,,,,
annihilated,anieilaeted,,,,,,,,
annihilates,anieilaets,,,,,,,,
annihilating,anieilaeting,,,,,,,,
annihilation,anieilaeshon,,,,,,,,
annihilations,anieilaeshons,,,,,,,,
annihilator,anieilaetor,,,,,,,,
annihilators,anieilaetors,,,,,,,,
anniversaries,anivursarys,*,,,,,,,
annotate,anoetaet,,,,,,,,
annotated,anoetaeted,,,,,,,,
annotates,anoetaets,,,,,,,,
annotating,anoetaeting,,,,,,,,
annotation,anoetaeshon,,,,,,,,
annotations,anoetaeshons,,,,,,,,
annotator,anoetaetor,,,,,,,,
annotators,anoetaetors,,,,,,,,
announce,anounss,,,,,,,,
announced,anounst,,,,,,,,
announcement,anounsment,,,,,,,,
announcements,anounsments,,,,,,,,
announcer,anounser,,,,,,,,
announcers,anounsers,,,,,,,,
announces,anounses,,,,,,,,
announcing,anounsing,,,,,,,,
annoy,anoy,*,,,,,,,
annoyance,anoyanss,*,,,,,,,
annoyances,anoyanses,*,,,,,,,
annoyed,anoyd,*,,,,,,,
annoying,anoying,*,,,,,,,
annoyingly,anoyingly,*,,,,,,,
annoys,anoys,*,,,,,,,
annual,anueal,,,,,,,,
annually,anuealy,,,,,,,,
anoint,anoint,,,,,,,,
anointed,anointed,,,,,,,,
anointing,anointing,,,,,,,,
anoints,anoints,,,,,,,,
another,anuther,,,,,,,,
another’s,anuther’s,,,,,,,,
answer,anser,,,,,,,,
answerable,anserabl,,,,,,,,
answerably,anserably,,,,,,,,
answered,anserd,,,,,,,,
answering,ansering,,,,,,,,
answers,ansers,,,,,,,,
ant,ant,,,,,,,,
antacid,antasid,,,,,,,,
antacids,antasids,,,,,,,,
antagonism,antagonizm,,,,,,,,
antagonisms,antagonizms,,,,,,,,
antagonist,antagonist,,,,,,,,
antagonistic,antagonistik,,,,,,,,
antagonistically,antagonistikaly,,,,,,,,
antagonists,antagonists,,,,,,,,
antagonize,antagoniez,,,,,,,,
antagonized,antagoniezd,,,,,,,,
antagonizes,antagoniezes,,,,,,,,
antagonizing,antagoniezing,,,,,,,,
anteater,anteeter,,,,,,,,
anteaters,anteeters,,,,,,,,
antedate,antidaet,,,,,,,,
antedated,antidaeted,,,,,,,,
antedates,antidaets,,,,,,,,
antedating,antidaeting,,,,,,,,
antediluvian,antidiloovian,,,,,,,,
antediluvians,antidiloovians,,,,,,,,
antefix,antifix,,,,,,,,
antelope,anteloep,,,,,,,,
antelopes,anteloeps,,,,,,,,
antemeridian,antimeridian,,,,,,,,
antemeridian,anty-meridian,,,,,,,,
antemortem,anty-mortem,*,,,,,,,
antenatal,anty-naetal,,,,,,,,
antenatally,anty-naetaly,*,,,,,,,
antenna,antena,,,,,,,,
antennae,anteni,,,,,,,,
antennal,antenal,,,,,,,,
antennas,antenas,,,,,,,,
